phase,request_num,latency_ms
baseline,1,0.4248619079589844
baseline,2,0.43010711669921875
baseline,3,1.9850730895996094
baseline,4,1.7979145050048828
baseline,5,1.2960433959960938
baseline,6,0.6160736083984375
baseline,7,0.6239414215087891
baseline,8,0.5259513854980469
baseline,9,0.9548664093017578
baseline,10,1.5501976013183594
baseline,11,1.3611316680908203
baseline,12,1.7321109771728516
baseline,13,0.9119510650634766
baseline,14,1.9881725311279297
baseline,15,0.8478164672851562
baseline,16,1.9288063049316406
baseline,17,1.4827251434326172
baseline,18,1.7139911651611328
baseline,19,1.6429424285888672
baseline,20,0.8258819580078125
baseline,21,1.847982406616211
baseline,22,1.4491081237792969
baseline,23,1.8968582153320312
baseline,24,1.4030933380126953
baseline,25,1.3048648834228516
baseline,26,1.2729167938232422
baseline,27,1.4972686767578125
baseline,28,1.4460086822509766
baseline,29,2.0751953125
baseline,30,1.6851425170898438
baseline,31,2.290964126586914
baseline,32,1.2760162353515625
baseline,33,1.4009475708007812
baseline,34,2.263784408569336
baseline,35,1.5158653259277344
baseline,36,1.1670589447021484
baseline,37,1.483917236328125
baseline,38,1.5871524810791016
baseline,39,0.8549690246582031
baseline,40,1.6400814056396484
baseline,41,2.015829086303711
baseline,42,1.5170574188232422
baseline,43,1.0571479797363281
baseline,44,0.8587837219238281
baseline,45,1.6987323760986328
baseline,46,1.2569427490234375
baseline,47,1.789093017578125
baseline,48,1.6629695892333984
baseline,49,1.9099712371826172
baseline,50,1.8491744995117188
